G2expocode,G2cruise,G2station,G2year,G2month,G2day,G2latitude,G2longitude,G2depth,G2tco2,G2talk,G2temperature,G2salinity,G2phtsinsitutp,G2tco2qc,G2talkqc,G2phtsqc
33WA20150921,4060.0,573.0,2015.0,9.0,23.0,25.3512,-81.6543,1.0,1973.3,2262.6,30.14,36.164,7.97230174881567,0.0,0.0,0.0
33WA20150921,4060.0,571.0,2015.0,9.0,24.0,25.3515,-81.3363,1.0,1893.3,2122.2,29.46,36.999,7.88734223833745,0.0,0.0,0.0
33WA20150921,4060.0,55.0,2015.0,9.0,24.0,25.3515,-81.1962,1.0,2192.7,2468.9,29.04,36.057,7.90684579147912,0.0,0.0,0.0
33WA20150921,4060.0,573.0,2015.0,9.0,24.0,25.3516,-81.6556,1.0,1985.6,2289.42161573752,29.9,36.203,7.96548030004463,0.0,0.0,0.0
33WA20150921,4060.0,57.0,2015.0,9.0,24.0,25.3516,-81.2659,1.0,1954.5,2240.1,29.22,37.611,7.94381525897729,0.0,0.0,0.0
33WA20141201,4059.0,571.0,2014.0,12.0,3.0,25.3517,-81.336,1.0,2139.9,2389.2,20.88,35.068,8.25620707780515,0.0,0.0,0.0
33WA20150921,4060.0,57.0,2015.0,9.0,23.0,25.3517,-81.2665,1.0,1954.1,2248.0,29.47,37.517,7.98254149100239,0.0,0.0,0.0
33WA20141201,4059.0,573.0,2014.0,12.0,3.0,25.3519,-81.6531,1.0,2083.8,2353.3,21.22,35.905,8.53660234274238,0.0,0.0,0.0
33WA20150921,4060.0,572.0,2015.0,9.0,24.0,25.3519,-81.4875,1.0,1927.7,2174.3,29.6,36.002,7.90329937512516,0.0,0.0,0.0
33WA20150921,4060.0,571.0,2015.0,9.0,23.0,25.3519,-81.3364,1.0,1914.3,2192.9,29.57,37.419,7.95323019336987,0.0,0.0,0.0
33WA20141201,4059.0,57.0,2014.0,12.0,3.0,25.3522,-81.2656,1.0,2166.6,2428.9,20.71,35.111,7.72350936923771,0.0,0.0,0.0
33WA20150921,4060.0,572.0,2015.0,9.0,23.0,25.3529,-81.4952,1.0,1903.5,2148.4,29.71,36.007,7.92120300298815,0.0,0.0,0.0
33WA20141201,4059.0,572.0,2014.0,12.0,3.0,25.3529,-81.4904,1.0,2090.5,2335.2,20.94,35.299,8.41122297232082,0.0,0.0,0.0
33RO20170718,4058.0,95.0,2017.0,8.0,19.0,25.5001,-80.081,3.0,2022.4,2366.19,30.594,35.927,8.01460277590815,0.0,0.0,0.0
316N19810401,237.0,15.0,1981.0,4.0,17.0,25.575,-76.385,8.0,2023.8,2396.4,22.86,36.762,8.1555,1.0,1.0,0.0
74DI20100106,699.0,45.0,2010.0,1.0,16.0,25.699,-70.266,6.0,2058.2,2398.4,23.657,36.778,8.0939,1.0,1.0,0.0
33RO19980123,341.0,92.0,1998.0,2.0,17.0,25.759,-70.235,7.0,2028.5,2391.5,24.269,36.607,8.1322,1.0,1.0,1.0
33RO20170718,4058.0,96.0,2017.0,8.0,19.0,25.9934,-80.004,3.0,2037.5,2373.03,29.903,36.037,8.01253000852025,0.0,0.0,0.0
74EQ20151206,1109.0,55.0,2015.0,12.0,22.0,25.999,-70.537,3.0,2035.3,2390.1,26.188,36.557,8.07214354738198,1.0,1.0,0.0
